Ingredient,Quantity,Calories (kcal),Protein (g),Carbs (g),Fat (g),Fiber (g)
Rolled Oats,50 g,185,6.5,33,4,5
Whey Protein,60 g,240,48,6,3,1
Walnuts,1/3 cup (~40 g),262,6.1,5.5,26.1,2.7
Chia Seeds,15 g,73,2.6,6.4,4.6,5.1
Blueberries,1/3 cup (~50 g),29,0.4,7.3,0.2,1.2
Cacao Powder,1 tbsp (~5 g),12,1,3,0.7,2
Lactose-Free Yoghurt,2 tbsp (~30 g),18,1.8,2.2,0.4,0
Spices,Pinch,~2,0,0.5,0,0.2
SUBTOTAL (Base),,~821,~66.4,~63.9,~39,~17.2
,,,,,,
Optional Items,,,,,,
Peanut Butter,2 tbsp (~32 g),190,7,6,16,2
Maple Syrup,1/2 tbsp (~10 g),26,0,7,0,0
GRAND TOTAL,,~1037,~73.4,~76.9,~55,~19.2
