Ingredient,Quantity,Calories (kcal),Protein (g),Carbs (g),Fat (g),Fiber (g)
Rolled Oats,50 g,185,6.5,33,4,5
Whey Protein,60 g,240,48,6,3,1
Walnuts,15 g,98.2,2.3,2.1,9.8,1
Chia Seeds,15 g,73,2.6,6.4,4.6,5.1
Blueberries,45 g,26.1,0.4,6.6,0.2,1.1
Cacao Powder,~5 g,12,1,3,0.7,2
Lactose-Free Yoghurt,~30 g,18,1.8,2.2,0.4,0
Spices,Pinch,2,0,0.5,0,0.2
SUBTOTAL (Base),,654.3,62.5,59.7,22.6,15.4
Optional Items,,,,,,
Peanut Butter,2 tbsp (~32 g),190,7,6,16,2
Maple Syrup,1/2 tbsp (~10 g),26,0,7,0,0
GRAND TOTAL,,870.3,69.5,72.7,38.6,17.4
